,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,0.19,,,0.278,,,,0.335
From ENJ,,,,,,,,,0.127,
From Im,,,,0.092,0.197,,,,0.127,
From PU,0.377,0.168,,,,,,0.173,,
From Use,,,,,,,0.093,,,
