,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,0.156,0.076,,,0.082,0.157,,
From Im,,,,,,,,,0.119,
From PEU,,,,,,,,,0.119,
From PU,0.359,0.132,,,,,,,,0.331
From Pf,,,,,0.191,,,,,
From Use,,,,0.076,,0.261,,,0.119,
