,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From ENJ,,,,,,,,,0.021,
From PU,,0.08,,,0.151,,,,,0.295
From Pf,,,,0.049,,,,,,
From Qu,,,,,,0.192,,,,
From Use,0.284,,0.114,,,,0.029,0.103,,
