,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,,0.001,,0.418,-0.016,0.077,-0.204,0.425
From ENJ,0.616,,,,,0.418,,,,
From Im,0.616,,,0.001,-0.327,,,,-0.204,
From JR,0.616,,0.175,,,0.418,,,-0.204,0.425
From PEU,,0.239,,0.001,,,-0.016,0.077,-0.204,
From PU,0.616,0.239,,0.001,,,-0.016,,,
From Pf,,,,0.001,,0.418,,0.077,-0.204,0.425
From Qu,,,,,-0.327,,,,,
From SA,,,,0.001,,0.418,-0.016,0.077,,
From Use,0.616,,0.175,0.001,-0.327,0.418,,,,
