,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,,0.053,,,-0.078,,,
From ENJ,,,0.226,,0.074,0.345,,,0.12,
From Im,,,,,,,-0.078,,0.12,0.336
From JR,,,0.226,,,,,,0.12,
From PU,,0.142,,0.053,,,,0.205,,0.336
From Pf,,,,,,,,,0.12,
From Qu,,0.142,,,,0.345,-0.078,,,
From SA,,,,0.053,0.074,,,,,
From Use,0.542,,0.226,,,,,,,
