,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,,-0.004,-0.328,0.157,,0.146,0.005,
From ENJ,0.035,,0.053,-0.004,,,-0.081,,0.005,
From Im,,,,-0.004,-0.328,,,0.146,,0.359
From JR,,,0.053,,,,-0.081,0.146,,0.359
From PEU,0.035,0.014,0.053,,,,-0.081,,,0.359
From PU,,0.014,0.053,,,,,,,0.359
From Pf,0.035,0.014,,,,0.157,,0.146,,
From Qu,,,0.053,-0.004,-0.328,0.157,,,,0.359
From SA,0.035,,,-0.004,,,,0.146,,
From Use,,,,-0.004,-0.328,0.157,-0.081,,0.005,
