,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From Im,,,,,,0.032,,0.018,,
From PU,,0.012,0.019,,,,,,,
From Qu,0.047,,,0.008,,,,,0.003,
From SA,,,,,,,0.005,,,0.049
From Use,,,,,0.025,,,,,
