,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,0.003,,,,0.002,,,
From ENJ,0.006,,,,0.003,,,0.003,0.002,
From Im,,0.003,,0.002,0.003,0.005,,,0.002,0.006
From JR,,,0.003,,,0.005,,,,
From PEU,,0.003,0.003,0.002,,,,,0.002,
From PU,0.006,0.003,0.003,0.002,,,0.002,,0.002,
From Pf,,0.003,0.003,0.002,0.003,0.005,,,,0.006
From Qu,,,,,0.003,0.005,0.002,,0.002,
From SA,,0.003,0.003,,0.003,,,0.003,,0.006
From Use,0.006,,,,,0.005,0.002,,0.002,
