,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,,,,,,0.026,,0.055
From ENJ,,,,0.012,,,,,,
From Im,,0.022,,,,,,,0.02,
From JR,,,,,0.032,,,,,
From PEU,,,,,,0.044,,,,
From Pf,,,0.027,,,,,,,
From Qu,0.06,,,,,,,,,
From SA,,,,,,,0.014,,,
