,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,,,,,,,0.013,
From JR,,,,,0.02,,0.009,,,
From PEU,0.038,,,,,,,0.017,,
From PU,,0.017,0.019,,,,,,,0.034
From SA,,,,0.009,,,,,,
From Use,,,,,,0.028,,,,
