,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,,0.008,0.019,,,,,
From Im,,,,,,,,0.016,,
From PU,,0.013,,,,,,,,
From Pf,,,,,,0.026,,,,0.033
From SA,,,0.015,,,,0.008,,,
From Use,0.036,,,,,,,,0.012,
