,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,0.133,-0.007,,,0.077,,0.054,0.342
From Im,,,,-0.007,,,,0.045,0.054,
From JR,,,,,,,,,0.054,
From PEU,,,0.133,,,,,,,
From PU,0.291,,,,,,,,,
From Qu,,0.149,,,,,,,,
From SA,,,,,0.06,,,,,
From Use,,,,,,0.411,,,,
