,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,0.224,,0.122,,,0.124,,,0.447
From ENJ,,,,,0.263,,,,,
From Im,,,,0.122,,,,,0.17,
From PEU,,0.224,,,,,,,0.17,
From Pf,,,,,,,,,0.17,
From SA,,,,0.122,,,,,,
From Use,0.503,,0.253,,,0.371,0.124,0.231,,
