,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,0.154,,0.202,0.253,,,0.026,0.394
From PU,,0.086,,,,,0.039,0.142,,
From Pf,,,,0.066,,,,,,
From Use,0.377,,,,,,,,,
