,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,0.177,,0.099,,,,,,0.442
From ENJ,,,,,0.249,,,,0.159,
From PEU,,0.177,,,,,,0.21,0.159,
From PU,,,,0.099,,,,0.21,0.159,
From Pf,,,,,,,,,0.159,
From Qu,,,,,,,,,0.159,
From SA,,,,,,,0.109,,,
From Use,0.481,,0.203,,,0.348,0.109,,,
