,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,,0.153,0.329,,0.156,,,0.558
From ENJ,,,0.316,0.153,0.329,0.464,0.156,0.289,0.212,0.558
From Im,,,,0.153,0.329,,0.156,,0.212,0.558
From JR,0.628,,,,,,0.156,,0.212,0.558
From PEU,,0.28,0.316,0.153,,,0.156,,0.212,0.558
From PU,0.628,0.28,,0.153,,,,0.289,,
From Pf,,,,,,,,,0.212,0.558
From Qu,,,0.316,0.153,0.329,0.464,,,0.212,
From SA,,0.28,0.316,,0.329,,0.156,0.289,,
From Use,0.628,,0.316,0.153,,0.464,0.156,,,
