,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,,0.082,,0.32,0.047,,,0.492
From ENJ,,,,0.082,0.252,0.32,,,,
From PU,,0.118,,,,,,,,
From Pf,,,,,,,,,,0.492
From Qu,,,,,,,,,0.034,0.492
From Use,0.473,,0.188,,,,,0.174,,
