,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,,,0.02,,,,0.003,
From Im,,,,,,,0.004,,,
From PEU,,,,,,,,,,0.039
From PU,,,,,,,,0.014,,
From Pf,0.038,,,,,,,,,
From Qu,,0.009,,,,,,,,
From Use,,,0.015,0.007,,0.026,,,,
