,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From ENJ,,,,,0.026,,,,0.017,0.045
From Im,,,,0.012,,0.037,,,,
From PEU,,,,,,,0.012,,,
From PU,,,,,,,,0.023,,
From SA,0.05,,,,,,,,,
From Use,,0.022,0.025,,,,,,,
