,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,,,,,0.011,,,
From Im,,,,0.01,,,,,,0.044
From PEU,,,,,,0.035,,,,
From PU,,,,,0.026,,,,,
From Pf,,,,,,,,0.021,,
From Qu,0.048,,,,,,,,0.016,
From SA,,,0.02,,,,,,,
From Use,,0.018,,,,,,,,
